feature,importance
CO2_per_Capita,1.3059063e+08
Population,8.6201016e+07
Ocean_Acidification,222938.4
Air_Pollution_Index,163466.06
Arctic_Ice_Extent,131301.95
Extreme_Weather_Events,114653.66
Energy_Consumption_Per_Capita,104580.89
Deforestation_Rate,100891.47
Biodiversity_Index,84089.72
Average_Temperature,78189.8
Sea_Level_Rise,69069.45
Policy_Score,64979.64
Urbanization,62651.727
Renewable_Energy_Usage_lag1,59995.867
Average_Rainfall,42943.867
Solar_Energy_Potential,36530.76
Renewable_Energy_Usage,34939.39
Waste_Management,31102.908
Fossil_Fuel_Usage,24628.805
GDP,21564.316
