feature,importance
Urbanization,0.008672543
Deforestation_Rate,0.0066024926
Fossil_Fuel_Usage,0.005611078
Energy_Consumption_Per_Capita,0.0053405906
Arctic_Ice_Extent,0.0046243216
Ocean_Acidification,0.0042271134
Average_Temperature,0.0041018464
Biodiversity_Index,0.0038253786
CO2_per_Capita,0.003716471
Population,0.0036586963
Sea_Level_Rise,0.0036280209
Waste_Management,0.0035119343
Renewable_Energy_Usage,0.0035023035
GDP,0.003492668
Policy_Score,0.0032823177
Solar_Energy_Potential,0.0031099531
Average_Rainfall,0.0030818302
Renewable_Energy_Usage_lag1,0.0026561478
Extreme_Weather_Events,0.0026213478
Air_Pollution_Index,0.0024708617
